business_units,sub_unit,accounts,amount
A,000016,equipment_lease,-108
A,000016,income _allowances,53071
A,000016,insurance,-1604
A,000016,it_maintenance,-191
A,000016,maintenance,-2908
A,000016,materials,-2178
A,000016,net_sales,323764
A,000016,others,-895
A,000016,others_incomes,257
A,000016,re_incomes,1259
A,000016,rent,-7165
A,000016,shrinkage,-10341
A,000016,third_party_service,-226
A,000016,transportation_cost,-4552
A,000016,utilities,-10836
A,000016,wage,-25095
A,000017,advertising,-3753
A,000017,cogs,-393474
A,000017,credit_card_fee,-3626
A,000017,customer_loyalty,-226
A,000017,equipment_lease,-108
A,000017,income _allowances,76960
A,000017,insurance,-2684
A,000017,it_maintenance,-191
A,000017,maintenance,-3019
A,000017,materials,-3159
A,000017,net_sales,469501
A,000017,others,-895
A,000017,others_incomes,379
A,000017,re_incomes,1259
A,000017,rent,-16411
A,000017,shrinkage,-14996
A,000017,third_party_service,-263
A,000017,transportation_cost,-6601
A,000017,utilities,-14513
A,000017,wage,-37241
A,000018,advertising,-3582
A,000018,cogs,-375557
A,000018,credit_card_fee,-3460
A,000018,customer_loyalty,-216
A,000018,equipment_lease,-108
A,000018,income _allowances,73456
A,000018,insurance,-2422
A,000018,it_maintenance,-191
A,000018,maintenance,-2741
A,000018,materials,-3015
A,000018,net_sales,448122
A,000018,others,-895
A,000018,others_incomes,356
A,000018,re_incomes,1259
A,000018,rent,-16446
A,000018,shrinkage,-14313
A,000018,third_party_service,-221
A,000018,transportation_cost,-6300
A,000018,utilities,-14068
A,000018,wage,-37760
A,000019,advertising,-4219
A,000019,cogs,-442410
A,000019,credit_card_fee,-4076
A,000019,customer_loyalty,-254
A,000019,equipment_lease,-108
A,000019,income _allowances,86532
A,000019,insurance,-2337
A,000019,it_maintenance,-191
A,000019,maintenance,-3097
A,000019,materials,-3552
A,000019,net_sales,527892
A,000019,others,-895
A,000019,others_incomes,391
A,000019,re_incomes,1259
A,000019,rent,-16686
A,000019,shrinkage,-16861
A,000019,third_party_service,-280
A,000019,transportation_cost,-7422
A,000019,utilities,-16351
A,000019,wage,-42123
A,000020,advertising,-3964
A,000020,cogs,-415691
A,000020,credit_card_fee,-3830
A,000020,customer_loyalty,-239
A,000020,equipment_lease,-108
A,000020,income _allowances,81306
A,000020,insurance,-2716
A,000020,it_maintenance,-191
A,000020,maintenance,-3247
A,000020,materials,-3337
A,000020,net_sales,496010
A,000020,others,-895
A,000020,others_incomes,358
A,000020,re_incomes,1259
A,000020,rent,-16422
A,000020,shrinkage,-15843
A,000020,third_party_service,-266
A,000020,transportation_cost,-6974
A,000020,utilities,-14731
A,000020,wage,-40911
A,000021,advertising,-5324
A,000021,cogs,-558276
A,000021,credit_card_fee,-5144
A,000021,customer_loyalty,-321
A,000021,equipment_lease,-108
A,000021,income _allowances,109194
A,000021,insurance,-3437
A,000021,it_maintenance,-191
A,000021,maintenance,-3300
A,000021,materials,-4482
A,000021,net_sales,666146
A,000021,others,-895
A,000021,others_incomes,435
A,000021,re_incomes,1259
A,000021,rent,-17056
A,000021,shrinkage,-21278
A,000021,third_party_service,-470
A,000021,transportation_cost,-9366
A,000021,utilities,-18664
A,000021,wage,-54389
A,000022,advertising,-5120
A,000022,cogs,-536887
A,000022,credit_card_fee,-4947
A,000022,customer_loyalty,-308
A,000022,equipment_lease,-108
A,000022,income _allowances,105011
A,000022,insurance,-3245
A,000022,it_maintenance,-191
A,000022,maintenance,-3385
A,000022,materials,-4310
A,000022,net_sales,640624
A,000022,others,-895
A,000022,others_incomes,436
A,000022,re_incomes,1259
A,000022,rent,-16986
A,000022,shrinkage,-20462
A,000022,third_party_service,-434
A,000022,transportation_cost,-9007
A,000022,utilities,-18610
A,000022,wage,-51367
A,000023,advertising,-5876
A,000023,cogs,-616062
A,000023,credit_card_fee,-5677
A,000023,customer_loyalty,-354
A,000023,equipment_lease,-108
A,000023,income _allowances,120497
A,000023,insurance,-3070
A,000023,it_maintenance,-191
A,000023,maintenance,-3701
A,000023,materials,-4946
A,000023,net_sales,735097
A,000023,others,-895
A,000023,others_incomes,488
A,000023,re_incomes,1259
A,000023,rent,-19165
A,000023,shrinkage,-23480
A,000023,third_party_service,-551
A,000023,transportation_cost,-10335
A,000023,utilities,-21004
A,000023,wage,-58849
A,000024,advertising,-5526
A,000024,cogs,-579360
A,000024,credit_card_fee,-5339
A,000024,customer_loyalty,-333
A,000024,equipment_lease,-108
A,000024,income _allowances,113318
A,000024,insurance,-3397
A,000024,it_maintenance,-191
A,000024,maintenance,-3477
A,000024,materials,-4651
A,000024,net_sales,691303
A,000024,others,-895
A,000024,others_incomes,477
A,000024,re_incomes,1259
A,000024,rent,-17176
A,000024,shrinkage,-22081
A,000024,third_party_service,-484
A,000024,transportation_cost,-9720
A,000024,utilities,-18863
A,000024,wage,-52964
A,000025,advertising,-3344
A,000025,cogs,-350672
A,000025,credit_card_fee,-3231
A,000025,customer_loyalty,-201
A,000025,equipment_lease,-108
A,000025,income _allowances,68588
A,000025,insurance,-1721
A,000025,it_maintenance,-191
A,000025,maintenance,-2721
A,000025,materials,-2815
A,000025,net_sales,418428
A,000025,others,-895
A,000025,others_incomes,269
A,000025,re_incomes,1259
A,000025,rent,-432
A,000025,shrinkage,-13364
A,000025,third_party_service,-261
A,000025,transportation_cost,-5883
A,000025,utilities,-13812
A,000025,wage,-31311
A,000026,advertising,-3346
A,000026,cogs,-350836
A,000026,credit_card_fee,-3233
A,000026,customer_loyalty,-201
A,000026,equipment_lease,-108
A,000026,income _allowances,68621
A,000026,insurance,-1695
A,000026,it_maintenance,-191
A,000026,maintenance,-2581
A,000026,materials,-2817
A,000026,net_sales,418624
A,000026,others,-895
A,000026,others_incomes,272
A,000026,re_incomes,1259
A,000026,rent,-438
A,000026,shrinkage,-13371
A,000026,third_party_service,-229
A,000026,transportation_cost,-5886
A,000026,utilities,-13842
A,000026,wage,-31564
A,000027,advertising,-3569
A,000027,cogs,-374216
A,000027,credit_card_fee,-3448
A,000027,customer_loyalty,-215
A,000027,equipment_lease,-108
A,000027,income _allowances,73194
A,000027,insurance,-1655
A,000027,it_maintenance,-191
A,000027,maintenance,-2708
A,000027,materials,-3004
A,000027,net_sales,446522
A,000027,others,-895
A,000027,others_incomes,322
A,000027,re_incomes,1259
A,000027,rent,-454
A,000027,shrinkage,-14262
A,000027,third_party_service,-227
A,000027,transportation_cost,-6278
A,000027,utilities,-14252
A,000027,wage,-34885
A,000028,advertising,-3530
A,000028,cogs,-370136
A,000028,credit_card_fee,-3410
A,000028,customer_loyalty,-212
A,000028,equipment_lease,-108
A,000028,income _allowances,72395
A,000028,insurance,-1907
A,000028,it_maintenance,-191
A,000028,maintenance,-2791
A,000028,materials,-2972
A,000028,net_sales,441654
A,000028,others,-895
A,000028,others_incomes,311
A,000028,re_incomes,1259
A,000028,rent,-431
A,000028,shrinkage,-14107
A,000028,third_party_service,-262
A,000028,transportation_cost,-6209
A,000028,utilities,-14108
A,000028,wage,-33413
A,000029,advertising,-4721
A,000029,cogs,-494960
A,000029,credit_card_fee,-4561
A,000029,customer_loyalty,-284
A,000029,equipment_lease,-108
A,000029,income _allowances,96810
A,000029,insurance,-2620
A,000029,it_maintenance,-191
A,000029,maintenance,-3722
A,000029,materials,-3974
A,000029,net_sales,590595
A,000029,others,-895
A,000029,others_incomes,506
A,000029,re_incomes,1259
A,000029,rent,-12387
A,000029,shrinkage,-18864
A,000029,third_party_service,-435
A,000029,transportation_cost,-8304
A,000029,utilities,-17938
A,000029,wage,-41264
A,000030,advertising,-4523
A,000030,cogs,-474272
A,000030,credit_card_fee,-4370
A,000030,customer_loyalty,-272
A,000030,equipment_lease,-108
A,000030,income _allowances,92764
A,000030,insurance,-2707
A,000030,it_maintenance,-191
A,000030,maintenance,-4000
A,000030,materials,-3808
A,000030,net_sales,565910
A,000030,others,-895
A,000030,others_incomes,511
A,000030,re_incomes,1259
A,000030,rent,-11954
A,000030,shrinkage,-18076
A,000030,third_party_service,-321
A,000030,transportation_cost,-7957
A,000030,utilities,-17948
A,000030,wage,-42767
A,000031,advertising,-4671
A,000031,cogs,-489729
A,000031,credit_card_fee,-4513
A,000031,customer_loyalty,-281
A,000031,equipment_lease,-108
A,000031,income _allowances,95787
A,000031,insurance,-2423
A,000031,it_maintenance,-191
A,000031,maintenance,-4080
A,000031,materials,-3932
A,000031,net_sales,584354
A,000031,others,-895
A,000031,others_incomes,591
A,000031,re_incomes,1259
A,000031,rent,-12129
A,000031,shrinkage,-18665
A,000031,third_party_service,-333
A,000031,transportation_cost,-8216
A,000031,utilities,-18467
A,000031,wage,-43245
A,000032,advertising,-5028
A,000032,cogs,-527210
A,000032,credit_card_fee,-4858
A,000032,customer_loyalty,-303
A,000032,equipment_lease,-108
A,000032,income _allowances,103118
A,000032,insurance,-2705
A,000032,it_maintenance,-191
A,000032,maintenance,-3563
A,000032,materials,-4233
A,000032,net_sales,629077
A,000032,others,-895
A,000032,others_incomes,532
A,000032,re_incomes,1259
A,000032,rent,-12806
A,000032,shrinkage,-20093
A,000032,third_party_service,-422
A,000032,transportation_cost,-8845
A,000032,utilities,-18028
A,000032,wage,-43495
A,000033,advertising,-809
A,000033,cogs,-84822
A,000033,credit_card_fee,-781
A,000033,customer_loyalty,-48
A,000033,equipment_lease,-108
A,000033,income _allowances,16590
A,000033,insurance,-620
A,000033,it_maintenance,-191
A,000033,maintenance,-1345
A,000033,materials,-681
A,000033,net_sales,101211
A,000033,others,-895
A,000033,others_incomes,160
A,000033,re_incomes,1259
A,000033,rent,-5051
A,000033,shrinkage,-3232
A,000033,third_party_service,-206
A,000033,transportation_cost,-1423
A,000033,utilities,-5734
A,000033,wage,-12414
A,000034,advertising,-714
A,000034,cogs,-74900
A,000034,credit_card_fee,-690
A,000034,customer_loyalty,-43
A,000034,equipment_lease,-108
A,000034,income _allowances,14650
A,000034,insurance,-567
A,000034,it_maintenance,-191
A,000034,maintenance,-1215
A,000034,materials,-601
A,000034,net_sales,89373
A,000034,others,-895
A,000034,others_incomes,154
A,000034,re_incomes,1259
A,000034,rent,-4990
A,000034,shrinkage,-2854
A,000034,third_party_service,-186
A,000034,transportation_cost,-1256
A,000034,utilities,-5730
A,000034,wage,-11375
A,000035,advertising,-620
A,000035,cogs,-65093
A,000035,credit_card_fee,-599
A,000035,customer_loyalty,-37
A,000035,equipment_lease,-108
A,000035,income _allowances,12731
A,000035,insurance,-494
A,000035,it_maintenance,-191
A,000035,maintenance,-1268
A,000035,materials,-522
A,000035,net_sales,77670
A,000035,others,-895
A,000035,others_incomes,159
A,000035,re_incomes,1259
A,000035,rent,-4569
A,000035,shrinkage,-2480
A,000035,third_party_service,-163
A,000035,transportation_cost,-1092
A,000035,utilities,-5333
A,000035,wage,-10131
A,000036,advertising,-829
A,000036,cogs,-86936
A,000036,credit_card_fee,-801
A,000036,customer_loyalty,-50
A,000036,equipment_lease,-108
A,000036,income _allowances,17004
A,000036,insurance,-656
A,000036,it_maintenance,-191
A,000036,maintenance,-1342
A,000036,materials,-698
A,000036,net_sales,103734
A,000036,others,-895
A,000036,others_incomes,164
A,000036,re_incomes,1259
A,000036,rent,-5049
A,000036,shrinkage,-3312
A,000036,third_party_service,-223
A,000036,transportation_cost,-1458
A,000036,utilities,-5821
A,000036,wage,-12981
A,000037,advertising,-1006
A,000037,cogs,-105548
A,000037,credit_card_fee,-972
A,000037,customer_loyalty,-60
A,000037,equipment_lease,-108
A,000037,income _allowances,20644
A,000037,insurance,-706
A,000037,it_maintenance,-191
A,000037,maintenance,-1481
A,000037,materials,-847
A,000037,net_sales,125942
A,000037,others,-895
A,000037,others_incomes,234
A,000037,re_incomes,1259
A,000037,rent,-2866
A,000037,shrinkage,-4022
A,000037,third_party_service,-164
A,000037,transportation_cost,-1770
A,000037,utilities,-7504
A,000037,wage,-15714
A,000038,advertising,-876
A,000038,cogs,-91855
A,000038,credit_card_fee,-846
A,000038,customer_loyalty,-52
A,000038,equipment_lease,-108
A,000038,income _allowances,17966
A,000038,insurance,-678
A,000038,it_maintenance,-191
A,000038,maintenance,-1496
A,000038,materials,-737
A,000038,net_sales,109603
A,000038,others,-895
A,000038,others_incomes,237
A,000038,re_incomes,1259
A,000038,rent,-2552
A,000038,shrinkage,-3500
A,000038,third_party_service,-166
A,000038,transportation_cost,-1541
A,000038,utilities,-7030
A,000038,wage,-14146
A,000039,advertising,-948
A,000039,cogs,-99390
A,000039,credit_card_fee,-915
A,000039,customer_loyalty,-57
A,000039,equipment_lease,-108
A,000039,income _allowances,19440
A,000039,insurance,-637
A,000039,it_maintenance,-191
A,000039,maintenance,-1719
A,000039,materials,-798
A,000039,net_sales,118595
A,000039,others,-895
A,000039,others_incomes,328
A,000039,re_incomes,1259
A,000039,rent,-2729
A,000039,shrinkage,-3787
A,000039,third_party_service,-149
A,000039,transportation_cost,-1667
A,000039,utilities,-7172
A,000039,wage,-14935
A,000040,advertising,-1076
A,000040,cogs,-112905
A,000040,credit_card_fee,-1040
A,000040,customer_loyalty,-64
A,000040,equipment_lease,-108
A,000040,income _allowances,22083
A,000040,insurance,-729
A,000040,it_maintenance,-191
A,000040,maintenance,-1551
A,000040,materials,-906
A,000040,net_sales,134720
A,000040,others,-895
A,000040,others_incomes,252
A,000040,re_incomes,1259
A,000040,rent,-3025
A,000040,shrinkage,-4302
A,000040,third_party_service,-169
A,000040,transportation_cost,-1894
A,000040,utilities,-7833
A,000040,wage,-15775
A,000041,advertising,-2729
A,000041,cogs,-286144
A,000041,credit_card_fee,-2636
A,000041,customer_loyalty,-164
A,000041,equipment_lease,-108
A,000041,income _allowances,55967
A,000041,insurance,-1934
A,000041,it_maintenance,-191
A,000041,maintenance,-2555
A,000041,materials,-2297
A,000041,net_sales,341433
A,000041,others,-895
A,000041,others_incomes,268
A,000041,re_incomes,1259
A,000041,rent,-8091
A,000041,shrinkage,-10905
A,000041,third_party_service,-265
A,000041,transportation_cost,-4800
A,000041,utilities,-11182
A,000041,wage,-29748
A,000042,advertising,-2613
A,000042,cogs,-274052
A,000042,credit_card_fee,-2525
A,000042,customer_loyalty,-157
A,000042,equipment_lease,-108
A,000042,income _allowances,53602
A,000042,insurance,-1859
A,000042,it_maintenance,-191
A,000042,maintenance,-2416
A,000042,materials,-2200
A,000042,net_sales,327004
A,000042,others,-895
A,000042,others_incomes,280
A,000042,re_incomes,1259
A,000042,rent,-7774
A,000042,shrinkage,-10444
A,000042,third_party_service,-246
A,000042,transportation_cost,-4597
A,000042,utilities,-12904
A,000042,wage,-29528
A,000043,advertising,-2921
A,000043,cogs,-306325
A,000043,credit_card_fee,-2822
A,000043,customer_loyalty,-176
A,000043,equipment_lease,-108
A,000043,income _allowances,59914
A,000043,insurance,-1765
A,000043,it_maintenance,-191
A,000043,maintenance,-2537
A,000043,materials,-2459
A,000043,net_sales,365513
A,000043,others,-895
A,000043,others_incomes,355
A,000043,re_incomes,1259
A,000043,rent,-8500
A,000043,shrinkage,-11675
A,000043,third_party_service,-276
A,000043,transportation_cost,-5139
A,000043,utilities,-15011
A,000043,wage,-34450
A,000044,advertising,-2814
A,000044,cogs,-295112
A,000044,credit_card_fee,-2719
A,000044,customer_loyalty,-169
A,000044,equipment_lease,-108
A,000044,income _allowances,57721
A,000044,insurance,-2007
A,000044,it_maintenance,-191
A,000044,maintenance,-2854
A,000044,materials,-2369
A,000044,net_sales,352133
A,000044,others,-895
A,000044,others_incomes,308
A,000044,re_incomes,1259
A,000044,rent,-8334
A,000044,shrinkage,-11247
A,000044,third_party_service,-214
A,000044,transportation_cost,-4951
A,000044,utilities,-11766
A,000044,wage,-29773
A,000045,advertising,-1812
A,000045,cogs,-189986
A,000045,credit_card_fee,-1750
A,000045,customer_loyalty,-109
A,000045,equipment_lease,-108
A,000045,income _allowances,37159
A,000045,insurance,-1048
A,000045,it_maintenance,-191
A,000045,maintenance,-2020
A,000045,materials,-1525
A,000045,net_sales,226695
A,000045,others,-895
A,000045,others_incomes,220
A,000045,re_incomes,1259
A,000045,rent,-4533
A,000045,shrinkage,-7240
A,000045,third_party_service,-270
A,000045,transportation_cost,-3187
A,000045,utilities,-8785
A,000045,wage,-20789
A,000046,advertising,-1880
A,000046,cogs,-197121
A,000046,credit_card_fee,-1816
A,000046,customer_loyalty,-113
A,000046,equipment_lease,-108
A,000046,income _allowances,38555
A,000046,insurance,-983
A,000046,it_maintenance,-191
A,000046,maintenance,-1748
A,000046,materials,-1582
A,000046,net_sales,235208
A,000046,others,-895
A,000046,others_incomes,209
A,000046,re_incomes,1259
A,000046,rent,-4704
A,000046,shrinkage,-7512
A,000046,third_party_service,-199
A,000046,transportation_cost,-3307
A,000046,utilities,-8423
A,000046,wage,-19991
A,000047,advertising,-2059
A,000047,cogs,-215954
A,000047,credit_card_fee,-1990
A,000047,customer_loyalty,-124
A,000047,equipment_lease,-108
A,000047,income _allowances,42239
A,000047,insurance,-1011
A,000047,it_maintenance,-191
A,000047,maintenance,-1792
A,000047,materials,-1734
A,000047,net_sales,257680
A,000047,others,-895
A,000047,others_incomes,228
A,000047,re_incomes,1259
A,000047,rent,-4965
A,000047,shrinkage,-8230
A,000047,third_party_service,-188
A,000047,transportation_cost,-3623
A,000047,utilities,-8821
A,000047,wage,-21964
A,000048,advertising,-1858
A,000048,cogs,-194857
A,000048,credit_card_fee,-1795
A,000048,customer_loyalty,-112
A,000048,equipment_lease,-108
A,000048,income _allowances,38112
A,000048,insurance,-1129
A,000048,it_maintenance,-191
A,000048,maintenance,-2016
A,000048,materials,-1564
A,000048,net_sales,232508
A,000048,others,-895
A,000048,others_incomes,217
A,000048,re_incomes,1259
A,000048,rent,-4650
A,000048,shrinkage,-7426
A,000048,third_party_service,-305
A,000048,transportation_cost,-3269
A,000048,utilities,-9134
A,000048,wage,-20820
A,000049,advertising,-5750
A,000049,cogs,-602849
A,000049,credit_card_fee,-5555
A,000049,customer_loyalty,-346
A,000049,equipment_lease,-108
A,000049,income _allowances,117913
A,000049,insurance,-3232
A,000049,it_maintenance,-191
A,000049,maintenance,-3763
A,000049,materials,-4840
A,000049,net_sales,719331
A,000049,others,-895
A,000049,others_incomes,502
A,000049,re_incomes,1259
A,000049,rent,-15368
A,000049,shrinkage,-22976
A,000049,third_party_service,-448
A,000049,transportation_cost,-10114
A,000049,utilities,-19983
A,000049,wage,-55532
A,000050,advertising,-5333
A,000050,cogs,-559119
A,000050,credit_card_fee,-5152
A,000050,customer_loyalty,-321
A,000050,equipment_lease,-108
A,000050,income _allowances,109359
A,000050,insurance,-3205
A,000050,it_maintenance,-191
A,000050,maintenance,-3274
A,000050,materials,-4489
A,000050,net_sales,667151
A,000050,others,-895
A,000050,others_incomes,468
A,000050,re_incomes,1259
A,000050,rent,-14322
A,000050,shrinkage,-21310
A,000050,third_party_service,-394
A,000050,transportation_cost,-9380
A,000050,utilities,-18979
A,000050,wage,-56898
A,000051,advertising,-5976
A,000051,cogs,-626636
A,000051,credit_card_fee,-5774
A,000051,customer_loyalty,-360
A,000051,equipment_lease,-108
A,000051,income _allowances,122565
A,000051,insurance,-2847
A,000051,it_maintenance,-191
A,000051,maintenance,-3606
A,000051,materials,-5031
A,000051,net_sales,747714
A,000051,others,-895
A,000051,others_incomes,547
A,000051,re_incomes,1259
A,000051,rent,-15035
A,000051,shrinkage,-23883
A,000051,third_party_service,-361
A,000051,transportation_cost,-10513
A,000051,utilities,-20593
A,000051,wage,-62798
A,000052,advertising,-6111
A,000052,cogs,-640742
