Sale_Price,Exterior_2nd,Exterior_1st,MS_SubClass,Sale_Type,Condition_1,Overall_Cond,Lot_Frontage,Mas_Vnr_Area,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Second_Flr_SF,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,Wood_Deck_SF,Mo_Sold,Latitude,Longitude,Neighborhood,Lot_Area
184000,MetalSd,MetalSd,One_Story_PUD_1946_and_Newer,WD,Norm,Average,26,0,3,354,1405,0,1,0,2,0,2,5,1,511,203,6,42.055318,-93.624373,North_Ames,5858
96000,HdBoard,HdBoard,Two_Story_PUD_1946_and_Newer,COD,Norm,Average,21,504,6,327,483,504,0,0,1,1,2,5,0,264,275,2,42.051835,-93.627271,Briardale,1680
105500,HdBoard,HdBoard,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,21,492,6,225,525,567,0,0,1,1,3,6,0,320,0,3,42.051684,-93.627536,Briardale,1680
88000,ImStucc,HdBoard,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,21,381,7,525,525,567,0,0,1,1,3,6,0,264,0,3,42.051685,-93.62728,Briardale,1680
127500,Plywood,Plywood,One_Story_PUD_1946_and_Newer,WD,Norm,Average,53,0,1,709,1069,0,0,0,2,0,2,4,1,440,0,7,42.049672,-93.627232,Northpark_Villa,4043
149900,Brk Cmn,Plywood,Two_Story_PUD_1946_and_Newer,WD,Norm,Above_Average,24,0,1,341,855,601,0,0,2,1,3,6,1,440,173,6,42.050683,-93.625924,Northpark_Villa,2280
120000,Brk Cmn,Plywood,One_Story_PUD_1946_and_Newer,WD,Norm,Above_Average,24,0,7,836,836,0,0,0,1,0,2,4,0,308,0,6,42.050681,-93.625966,Northpark_Villa,2280
146000,Brk Cmn,Plywood,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,24,0,1,544,855,601,0,0,2,1,3,7,1,440,26,7,42.049811,-93.625848,Northpark_Villa,2280
376162,VinylSd,VinylSd,Two_Story_1946_and_Newer,New,Norm,Average,102,162,7,1590,1590,707,0,0,2,1,3,10,1,751,144,1,42.062352,-93.653201,Northridge_Heights,12858
306000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,98,200,3,486,1704,0,1,0,2,0,3,7,1,772,0,5,42.062109,-93.654645,Northridge_Heights,11478
395192,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,New,Norm,Average,83,450,3,284,1930,0,1,0,2,1,3,8,1,606,168,4,42.0611331,-93.6537329,Northridge_Heights,10159
290941,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,New,Norm,Average,94,256,7,1544,1544,0,0,0,2,0,3,7,0,868,0,6,42.0612885,-93.6528306,Northridge_Heights,12883
220000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,New,Norm,Average,95,226,2,340,1541,0,0,0,2,0,3,7,1,532,0,5,42.060872,-93.652713,Northridge_Heights,12182
275000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,PosN,Average,90,615,3,1588,1698,0,0,0,2,0,3,7,1,730,192,6,42.0608079,-93.65332,Northridge_Heights,11520
259000,CmentBd,CemntBd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,79,240,3,1794,1822,0,0,0,2,0,3,8,1,678,0,2,42.060879,-93.652336,Northridge_Heights,14122
214000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,70,168,3,1515,1517,0,0,0,2,0,3,7,0,532,0,3,42.060298,-93.652307,Northridge_Heights,10171
611657,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,New,Norm,Average,100,760,3,142,2330,0,1,0,2,1,2,11,2,820,0,3,42.059617,-93.655051,Northridge_Heights,12919
224000,VinylSd,VinylSd,One_Story_PUD_1946_and_Newer,New,Norm,Average,44,128,3,625,1358,0,1,0,2,0,2,6,1,484,192,6,42.058388,-93.650436,Northridge_Heights,6371
500000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,110,1095,3,1473,2846,0,1,0,2,1,3,10,2,958,220,6,42.058599,-93.656067,Northridge_Heights,14300
320000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,105,232,3,1093,1671,563,1,0,2,1,3,7,1,756,238,6,42.057102,-93.654853,Northridge_Heights,13650
319900,MetalSd,MetalSd,One_Story_PUD_1946_and_Newer,WD,Norm,Average,61,412,3,1296,1752,0,1,0,2,0,2,6,1,576,196,2,42.057164,-93.654121,Northridge_Heights,7658
205000,VinylSd,VinylSd,One_Story_PUD_1946_and_Newer,WD,Norm,Average,41,178,3,1346,1370,0,0,0,2,0,2,6,1,484,120,4,42.058252,-93.649447,Northridge_Heights,7132
175500,Wd Shng,VinylSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,36,106,7,764,764,862,0,0,2,1,2,6,0,474,0,6,42.057181,-93.651013,Northridge_Heights,2628
199500,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,100,0,7,1324,1324,0,0,0,2,0,3,6,0,430,36,1,42.061928,-93.644356,Gilbert,18494
160000,VinylSd,VinylSd,One_Story_PUD_1946_and_Newer,WD,Norm,Average,43,14,3,1129,1145,0,0,0,2,0,2,6,0,437,100,1,42.06257,-93.641635,Bloomington_Heights,3203
192000,VinylSd,VinylSd,One_Story_PUD_1946_and_Newer,WD,Norm,Average,43,16,3,1232,1256,0,0,0,2,0,2,6,1,430,146,4,42.062303,-93.642252,Bloomington_Heights,3182
184500,VinylSd,VinylSd,Split_or_Multilevel,WD,Norm,Average,67,0,3,58,384,630,1,0,2,1,3,7,1,400,100,6,42.061443,-93.644076,Gilbert,13300
216500,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,0,0,3,235,860,1100,1,0,2,1,4,8,2,440,288,5,42.060977,-93.641487,Gilbert,7851
185088,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,63,0,7,847,847,886,0,0,2,1,3,7,1,433,144,4,42.061193,-93.642447,Gilbert,8577
180000,VinylSd,VinylSd,Split_or_Multilevel,WD,Norm,Average,0,0,3,134,384,656,0,0,2,1,3,7,1,400,180,4,42.060936,-93.641325,Gilbert,7750
222500,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,0,180,7,884,884,1151,0,0,2,1,3,8,1,434,144,5,42.057103,-93.641337,Gilbert,9505
333168,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,108,165,7,1393,1393,1177,0,0,2,1,4,10,1,779,668,5,42.054386,-93.651381,Northridge,14774
355000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,60,114,7,1629,1629,830,0,0,2,1,4,7,1,962,23,1,42.053243,-93.652334,Northridge,17433
260400,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,59,338,3,801,1720,0,1,0,2,0,3,7,1,527,240,3,42.051721,-93.654206,Northridge,10593
325000,HdBoard,HdBoard,Two_Story_1946_and_Newer,WD,Norm,Average,98,362,3,431,1463,1122,1,0,2,1,3,9,2,712,186,4,42.051674,-93.653616,Northridge,12256
290000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Good,92,348,3,628,1152,1106,0,0,2,1,4,9,1,671,132,4,42.052457,-93.650356,Northridge,11764
221000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,58,30,7,1195,1195,644,0,0,2,1,4,7,0,486,0,6,42.052437,-93.650578,Northridge,16770
410000,VinylSd,VinylSd,One_and_Half_Story_Finished_All_Ages,WD,Norm,Average,56,579,3,1217,2033,1185,1,0,2,1,4,9,1,666,283,3,42.050909,-93.652972,Northridge,14720
221500,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,73,226,7,1595,1595,0,0,0,2,0,2,6,1,880,144,5,42.05306,-93.642368,Somerset,8987
204500,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,New,Norm,Average,92,0,7,1218,1218,0,0,0,2,0,2,4,0,676,0,4,42.051827,-93.649976,Somerset,9215
215200,VinylSd,VinylSd,Two_Story_1946_and_Newer,Con,Norm,Average,72,0,3,732,756,783,0,0,2,1,3,7,0,614,169,6,42.051653,-93.650318,Somerset,8640
262500,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,75,36,3,488,1566,0,1,0,2,0,3,7,0,750,144,4,42.050084,-93.647105,Somerset,9000
254900,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,100,0,3,769,991,956,0,0,2,1,3,8,1,678,0,5,42.052347,-93.642773,Somerset,12552
271500,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,84,0,3,54,1468,0,1,0,2,0,2,6,1,528,0,5,42.051429,-93.642224,Somerset,10440
233000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,76,0,3,300,956,1128,1,0,2,1,4,8,0,618,0,1,42.036255,-93.692309,Sawyer_West,10142
181000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,70,122,7,831,831,828,0,0,2,1,3,8,0,484,144,4,42.036113,-93.692412,Sawyer_West,11920
205000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,0,0,3,253,948,888,1,0,2,1,3,8,2,463,0,5,42.036026,-93.68981,Sawyer_West,8880
143000,Plywood,Plywood,One_Story_PUD_1946_and_Newer,WD,Norm,Average,50,0,2,261,923,0,0,0,2,0,2,5,1,264,80,5,42.03548,-93.686417,Sawyer_West,8012
189000,Wd Sdng,Wd Sdng,Two_Story_1946_and_Newer,WD,Norm,Average,70,0,7,1055,1055,790,0,0,2,1,3,8,1,462,635,5,42.036659,-93.687694,Sawyer_West,11218
99500,Plywood,Plywood,One_Story_PUD_1946_and_Newer,WD,Norm,Average,55,0,7,918,918,0,0,0,2,0,2,5,1,264,28,4,42.034589,-93.686263,Sawyer_West,7892
125000,Plywood,Plywood,One_Story_PUD_1946_and_Newer,WD,Norm,Average,50,0,1,0,744,0,1,0,1,0,2,4,0,264,353,2,42.0347,-93.686264,Sawyer_West,7175
194500,HdBoard,HdBoard,Two_Story_1946_and_Newer,WD,RRNe,Good,0,0,2,594,996,730,0,0,2,1,3,7,0,457,370,2,42.036633,-93.68628,Sawyer_West,9453
152000,Plywood,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,81,0,3,702,1040,0,0,0,2,0,3,6,0,480,0,5,42.034555,-93.685028,Sawyer_West,9672
171000,HdBoard,HdBoard,Two_Story_1946_and_Newer,WD,Norm,Above_Average,70,130,7,650,650,676,0,0,2,1,3,7,1,476,0,4,42.034678,-93.685029,Sawyer_West,8400
67500,Wd Sdng,Wd Sdng,One_Story_1945_and_Older,WD,Feedr,Average,70,0,7,816,816,0,0,0,1,0,2,5,0,429,121,4,42.03607540000001,-93.67906939999999,Sawyer_West,9800
112000,VinylSd,VinylSd,Duplex_All_Styles_and_Ages,WD,RRAe,Average,68,0,5,0,0,584,0,0,2,0,4,8,0,539,0,4,42.036535,-93.677205,Sawyer,8930
148000,HdBoard,HdBoard,Split_Foyer,WD,Norm,Good,88,0,1,210,1109,0,1,0,1,0,3,6,0,576,192,6,42.034793,-93.673669,Sawyer,11782
138500,MetalSd,MetalSd,One_Story_1946_and_Newer_All_Styles,WD,RRAe,Very_Good,65,0,3,224,894,0,1,0,1,0,3,5,1,336,416,4,42.035685,-93.670956,Sawyer,8450
122000,MetalSd,MetalSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,0,31,2,432,882,0,0,0,1,0,3,5,0,280,0,2,42.034856,-93.672096,Sawyer,9819
133000,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Feedr,Average,75,0,1,216,1040,0,1,0,1,1,3,5,0,308,0,6,42.03457,-93.672067,Sawyer,7500
127000,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Norm,Very_Good,0,0,1,381,1040,0,1,0,1,1,3,6,0,260,0,4,42.035333,-93.669688,Sawyer,6897
169000,Plywood,Plywood,One_Story_1946_and_Newer_All_Styles,WD,RRNe,Above_Average,39,250,2,223,1208,0,1,0,2,0,3,7,2,461,296,4,42.034603,-93.660672,Sawyer,15410
190000,HdBoard,HdBoard,Two_Story_1946_and_Newer,WD,Norm,Average,107,0,3,76,750,862,1,0,2,1,3,8,1,564,240,6,42.048253,-93.646749,Northridge,10186
362500,ImStucc,HdBoard,Two_Story_1946_and_Newer,WD,Norm,Average,85,504,4,0,1231,1098,1,0,2,1,4,9,1,762,32,6,42.046825,-93.651773,Northridge,13143
285000,HdBoard,HdBoard,Two_Story_1946_and_Newer,WD,Norm,Average,88,180,3,261,1390,823,1,0,2,1,4,7,1,713,198,6,42.045773,-93.652773,Northridge,11134
260000,MetalSd,MetalSd,One_Story_PUD_1946_and_Newer,WD,Norm,Average,25,0,3,190,1488,0,1,0,2,0,2,6,1,506,168,3,42.047452,-93.647988,Somerset,4835
190000,VinylSd,VinylSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,39,0,7,840,840,840,0,0,2,1,2,3,0,588,0,1,42.048086,-93.64614,Somerset,3515
155000,MetalSd,MetalSd,Two_Story_PUD_1946_and_Newer,ConLD,Norm,Average,30,120,3,320,600,600,0,0,2,1,2,4,0,480,0,4,42.048566,-93.645599,Somerset,3215
151000,MetalSd,MetalSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,30,0,7,600,600,600,0,0,2,1,2,4,0,480,0,6,42.047899,-93.644889,Somerset,3182
149500,MetalSd,MetalSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,24,0,3,190,600,600,1,0,2,1,2,4,0,480,0,2,42.047876,-93.644889,Somerset,2544
152000,VinylSd,VinylSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,24,216,3,224,600,636,1,0,2,1,2,4,0,480,0,5,42.047782,-93.64489,Somerset,2544
222000,MetalSd,MetalSd,One_Story_1946_and_Newer_All_Styles,New,Norm,Average,0,432,3,892,1470,0,1,0,2,1,2,7,1,484,0,6,42.0471748,-93.6468879,Somerset,4403
177500,MetalSd,MetalSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,0,216,3,378,756,804,0,0,2,1,3,5,0,440,0,6,42.046145,-93.645606,Somerset,2117
177000,MetalSd,MetalSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,0,1159,3,290,756,756,1,0,2,1,2,5,0,440,0,5,42.046145,-93.645585,Somerset,2980
155000,MetalSd,MetalSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,24,0,1,92,696,720,1,0,2,1,3,6,0,484,0,5,42.046424,-93.645482,Somerset,2572
147110,VinylSd,VinylSd,Two_Story_PUD_1946_and_Newer,WD,Norm,Average,0,0,3,286,530,550,0,0,2,1,2,4,0,496,0,6,42.046114,-93.645478,Somerset,2403
267916,CmentBd,CemntBd,One_Story_1946_and_Newer_All_Styles,New,Norm,Average,57,0,3,610,1642,0,1,0,1,1,1,6,1,852,160,4,42.0470316,-93.64125299999999,Somerset,12853
254000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,68,0,3,491,975,873,1,0,2,1,3,7,1,592,280,4,42.04638,-93.643556,Somerset,7379
155000,Wd Sdng,Wd Sdng,One_Story_PUD_1946_and_Newer,WD,Norm,Average,30,0,3,0,728,0,1,0,1,0,1,3,1,484,133,6,42.042565,-93.649361,Greens,4420
206000,Plywood,Wd Sdng,One_Story_PUD_1946_and_Newer,WD,Norm,Above_Average,40,0,3,174,1226,0,1,0,1,0,1,4,1,484,223,1,42.043704,-93.648143,Greens,3880
130500,Plywood,HdBoard,Two_Story_1946_and_Newer,WD,RRAe,Very_Good,0,289,3,192,725,754,0,0,2,1,3,6,0,475,0,3,42.034561,-93.65921,Sawyer,13517
230000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,80,0,3,659,1492,0,1,0,2,0,3,6,1,596,277,4,42.048606,-93.639516,Somerset,8000
218500,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Norm,Above_Average,0,120,3,1323,1829,0,1,0,2,0,4,8,0,535,0,5,42.046322,-93.633351,Northwest_Ames,10456
243500,MetalSd,MetalSd,Two_Story_1946_and_Newer,WD,Norm,Average,80,0,3,143,1280,1215,1,0,2,1,4,9,1,660,224,3,42.043038,-93.636879,Northwest_Ames,10791
205000,Plywood,Plywood,One_Story_1946_and_Newer_All_Styles,WD,Norm,Good,0,28,1,410,1610,0,1,0,2,0,3,6,2,480,168,2,42.043306,-93.637463,Northwest_Ames,10603
212500,MetalSd,MetalSd,One_and_Half_Story_Finished_All_Ages,WD,Norm,Average,0,0,1,491,1224,604,0,1,3,0,3,7,1,678,0,4,42.043306,-93.637531,Northwest_Ames,18837
196500,HdBoard,HdBoard,Two_Story_1946_and_Newer,WD,Norm,Average,80,42,3,586,980,734,0,0,2,1,3,7,1,496,228,3,42.043329,-93.637788,Northwest_Ames,10421
197500,Plywood,Plywood,One_Story_1946_and_Newer_All_Styles,WD,Norm,Good,78,0,1,179,1161,0,1,0,1,1,3,5,1,676,0,3,42.043822,-93.631435,Northwest_Ames,9360
171000,MetalSd,MetalSd,Two_Story_1946_and_Newer,WD,Norm,Above_Average,80,0,1,386,715,715,0,0,1,2,4,7,0,441,0,6,42.043821,-93.632554,Northwest_Ames,9600
142250,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,80,172,6,534,1232,0,1,0,1,1,3,6,0,490,0,4,42.046574,-93.626137,North_Ames,9600
143000,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Feedr,Average,0,451,1,678,1328,0,1,0,1,1,3,6,2,528,0,6,42.042205,-93.625926,Northwest_Ames,9790
128950,Plywood,Plywood,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,77,0,1,381,950,0,1,0,1,1,3,6,0,0,352,1,42.043363,-93.623383,North_Ames,9320
159000,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,ConLD,Norm,Average,90,0,2,150,1209,0,1,0,1,0,3,6,0,504,0,4,42.039085,-93.626939,North_Ames,9900
178900,Plywood,Wd Sdng,One_Story_1946_and_Newer_All_Styles,WD,Norm,Above_Average,88,268,2,500,1510,0,1,0,2,0,3,6,0,517,0,4,42.038971,-93.627536,North_Ames,9680
136300,HdBoard,HdBoard,Split_or_Multilevel,COD,Norm,Average,0,0,7,533,533,644,0,0,2,0,3,8,0,480,0,5,42.040326,-93.626785,North_Ames,10600
180500,HdBoard,Wd Sdng,Split_or_Multilevel,WD,Norm,Good,0,86,3,138,1152,0,1,0,1,0,3,6,1,484,227,4,42.041146,-93.627809,North_Ames,14112
137500,MetalSd,MetalSd,Split_Foyer,WD,Feedr,Good,80,156,3,173,936,0,1,0,1,0,3,6,0,480,120,5,42.040391,-93.625728,North_Ames,8800
84900,HdBoard,HdBoard,Duplex_All_Styles_and_Ages,Oth,Norm,Above_Average,98,144,2,228,1728,0,2,0,2,0,6,10,0,0,0,1,42.0418387,-93.62290399999999,North_Ames,13260
142125,MetalSd,MetalSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Above_Average,68,0,3,0,1078,0,1,0,1,0,2,5,0,240,366,4,42.039211,-93.622864,North_Ames,9717
197600,MetalSd,MetalSd,One_and_Half_Story_Finished_All_Ages,WD,Norm,Good,68,265,4,470,1140,532,0,0,2,0,3,7,2,400,0,3,42.039211,-93.620651,North_Ames,9724
172500,MetalSd,MetalSd,One_and_Half_Story_Finished_All_Ages,WD,Artery,Above_Average,120,340,6,482,782,537,0,0,2,0,3,6,1,470,0,1,42.038538,-93.620504,North_Ames,17360
116500,Plywood,Wd Sdng,One_Story_1946_and_Newer_All_Styles,WD,Norm,Good,50,0,2,162,858,0,1,0,1,0,2,4,0,0,117,2,42.035256,-93.629287,Brookside,7207
76500,Plywood,Wd Sdng,One_Story_1945_and_Older,WD,Norm,Poor,55,0,7,728,728,0,0,0,1,0,3,6,0,0,263,5,42.035482,-93.629313,Brookside,5350
128000,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,80,110,6,412,1056,0,1,0,1,0,3,6,0,280,0,2,42.035943,-93.62475,North_Ames,9920
153000,AsbShng,AsbShng,Split_or_Multilevel,WD,Norm,Above_Average,80,164,2,350,1156,0,1,0,1,0,3,7,2,364,0,3,42.036095,-93.624601,North_Ames,9600
132000,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Norm,Above_Average,78,200,4,728,1268,0,0,0,1,0,2,7,1,244,0,3,42.037424,-93.621431,North_Ames,7800
178000,HdBoard,HdBoard,Split_Foyer,WD,Norm,Very_Good,75,216,3,136,1080,0,1,0,1,0,2,5,1,315,238,1,42.048494,-93.618221,North_Ames,11380
154300,MetalSd,MetalSd,Duplex_All_Styles_and_Ages,WD,Feedr,Average,80,361,6,662,1105,1169,0,0,2,0,5,12,0,480,0,1,42.0459375,-93.6184183,North_Ames,11600
180000,Plywood,Plywood,One_Story_1946_and_Newer_All_Styles,WD,PosA,Average,0,287,3,1035,1947,0,1,0,2,0,3,7,1,576,301,7,42.049514,-93.614307,North_Ames,19900
190000,Plywood,BrkFace,One_Story_1946_and_Newer_All_Styles,WD,PosA,Above_Average,137,0,1,557,1517,0,0,0,2,1,2,6,1,578,0,6,42.047447,-93.614244,North_Ames,16492
135000,HdBoard,HdBoard,Duplex_All_Styles_and_Ages,WD,Feedr,Average,70,0,7,1604,1604,0,0,0,2,0,4,8,0,576,42,3,42.044895,-93.617693,North_Ames,8267
